5;"e1";168;55;"2010-12-06";"20:33:29";1432744;865;"2010-12-06 20:33:29";"2010-10-16 22:13";2829;2397;1255;808;4;0;"2009-11-15 20:37:37";2;30;26;18;28;593;2829;2397;"2010-12-06 19:50:39";"0:42:50";2570
5;"e1";168;46;"2010-11-27";"16:36:26";1778644;349;"2010-11-27 16:36:26";"2010-10-16 22:13";32;32;1402;53;14;1;"2010-11-12 15:37:04";11;0;0;0;0;17;32;32;"2010-11-27 16:27:17";"0:09:09";549
5;"e1";168;34;"2010-11-14";"22:25:18";1743293;122;"2010-11-14 22:25:18";"2010-10-16 22:13";343;286;1533;310;13;1;"2010-09-19 20:58:37";11;64;41;45;25;38;343;286;"2010-11-14 22:23:24";"0:01:54";114
5;"e1";168;33;"2010-11-14";"20:49:35";1432744;865;"2010-11-14 20:49:35";"2010-10-16 22:13";2790;2345;1255;788;4;0;"2009-11-15 20:37:37";2;24;16;12;23;577;2790;2345;"2010-11-14 20:33:04";"0:16:31";991
5;"e1";168;33;"2010-11-14";"09:50:55";1432744;865;"2010-11-14 09:50:55";"2010-10-16 22:13";2790;2342;1255;785;4;0;"2009-11-15 20:37:37";2;21;14;12;21;577;2790;2342;"2010-11-14 09:47:43";"0:03:12";192
5;"e1";168;32;"2010-11-13";"21:09:05";1758721;66;"2010-11-13 21:09:05";"2010-10-16 22:13";145;179;249;188;0;0;"2010-10-16 18:47:04";0;6;5;3;0;54;145;179;"2010-11-13 21:04:56";"0:04:09";249
5;"e1";168;32;"2010-11-13";"20:57:01";1743293;122;"2010-11-13 20:57:01";"2010-10-16 22:13";335;274;1533;280;13;1;"2010-09-19 20:58:37";11;48;27;31;20;34;335;274;"2010-11-13 20:50:27";"0:06:34";394
5;"e1";168;32;"2010-11-13";"20:20:52";1758721;66;"2010-11-13 20:20:52";"2010-10-16 22:13";145;177;249;186;0;0;"2010-10-16 18:47:04";0;4;4;1;0;54;145;177;"2010-11-13 20:11:57";"0:08:55";535
5;"e1";168;32;"2010-11-13";"19:26:44";1758721;66;"2010-11-13 19:26:44";"2010-10-16 22:13";142;174;249;182;0;0;"2010-10-16 18:47:04";0;3;3;1;0;54;142;174;"2010-11-13 19:18:11";"0:08:33";513
5;"e1";168;32;"2010-11-13";"14:07:07";1432744;865;"2010-11-13 14:07:07";"2010-10-16 22:13";2773;2319;1255;778;4;0;"2009-11-15 20:37:37";2;16;8;8;16;569;2773;2319;"2010-11-13 13:12:39";"0:54:28";3268
